"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"SOUTH TONGU"," 2,160 "," 90 "," 29,972 ",126,23," 179 ",14," 15 "," 32,579 ",507," 33,086 ",44946,"73.61%","1.53%","south tongu",2160,29972,32579,44946,33086,32132,0.932777293663637,0.919979127658921,"VOLTA",186,"SOUTH TONGU",921,"SOUTH TONGU","south tongu","south tongu","south tongu","south tongu",29972,32132,0.932777293663637,32579,507,33086,44946,0.736127797801807,0.919979127658921,0,"south tongu"
"SUNYANI EAST"," 32,841 "," 287 "," 20,056 ",69,36," 546 ",5," 29 "," 53,869 ",706," 54,575 ",79656,"68.51%","1.29%","sunyani east",32841,20056,53869,79656,54575,52897,0.379151936782804,0.372310605357441,"BRONG AHAFO",46,"SUNYANI",217,"SUNYANI EAST","sunyani","sunyani east","sunyani","sunyani",20056,52897,0.379151936782804,53869,706,54575,79656,0.68513357436979,0.372310605357441,0,"sunyani"
"SUNYANI WEST"," 22,812 "," 117 "," 15,759 ",61,20," 275 ",11," 50 "," 39,105 ",640," 39,745 ",55206,"71.99%","1.61%","sunyani west",22812,15759,39105,55206,39745,38571,0.408571206346737,0.402991944764097,"BRONG AHAFO",47,"SUNYANI",218,"SUNYANI WEST","sunyani west","sunyani west","sunyani west","sunyani west",15759,38571,0.408571206346737,39105,640,39745,55206,0.719939861609245,0.402991944764097,0,"sunyani west"
"TAIN"," 14,935 "," 165 "," 16,211 ",137,72," 141 ",53," 231 "," 31,945 ",939," 32,884 ",53880,"61.03%","2.86%","tain",14935,16211,31945,53880,32884,31146,0.52048417132216,0.507465957113789,"BRONG AHAFO",52,"WENCHI",219,"TAIN","tain","tain","tain","tain",16211,31146,0.52048417132216,31945,939,32884,53880,0.610319227913883,0.507465957113789,0,"tain"
"TAMALE CENTRAL"," 21,136 "," 259 "," 40,640 ",87,14," 900 ",15," 14 "," 63,065 ",469," 63,534 ",84346,"75.33%","0.74%","tamale central",21136,40640,63065,84346,63534,61776,0.657860657860658,0.64441449298343,"NORTHERN",130,"TAMALE",616,"TAMALE CENTRAL","tamale metro","tamale central","tamale metro","tamale metro",125813,169154,0.743777859228868,173830,2572,176402,237790,0.741839438159721,0.723770350342288,0,"tamale metro"
"TANO NORTH"," 17,246 "," 106 "," 11,126 ",62,17," 131 ",8," 36 "," 28,732 ",548," 29,280 ",40072,"73.07%","1.87%","tano north",17246,11126,28732,40072,29280,28372,0.392147187367827,0.387233746345538,"BRONG AHAFO",48,"TANO",220,"TANO NORTH","tano north","tano north","tano north","tano north",11126,28372,0.392147187367827,28732,548,29280,40072,0.730684767418646,0.387233746345538,0,"tano north"
"TANO SOUTH"," 15,951 "," 114 "," 12,173 ",90,38," 198 ",10," 44 "," 28,618 ",939," 29,557 ",41525,"71.18%","3.18%","tano south",15951,12173,28618,41525,29557,28124,0.432833167401508,0.425361660493396,"BRONG AHAFO",49,"TANO",221,"TANO SOUTH","tano south","tano south","tano south","tano south",12173,28124,0.432833167401508,28618,939,29557,41525,0.711788079470199,0.425361660493396,0,"tano south"
"TARKWA-NSUAEM"," 31,960 "," 134 "," 19,166 ",74,28," 2,009 ",20," 57 "," 53,448 ",876," 54,324 ",79732,"68.13%","1.61%","tarkwa nsuaem",31960,19166,53448,79732,54324,51126,0.374877753002386,0.358591528214339,"WESTERN",205,"WASSA WEST",1022,"TARKWA NSUAEM","tarkwa nsuaem","tarkwa nsuaem","tarkwa nsuaem","tarkwa nsuaem",19166,51126,0.374877753002386,53448,876,54324,79732,0.681332463753574,0.358591528214339,0,"tarkwa nsuaem"
"TECHIMAN NORTH"," 13,730 "," 108 "," 12,474 ",75,11," 103 ",7," 37 "," 26,545 ",687," 27,232 ",36285,"75.05%","2.52%","techiman north",13730,12474,26545,36285,27232,26204,0.476034193252938,0.469919005462422,"BRONG AHAFO",50,"TECHIMAN",222,"TECHIMAN NORTH","techiman","techiman north","techiman","techiman",41868,81617,0.512981364176581,82752,1682,84434,122015,0.691996885628816,0.505945475638051,0,"techiman"
"TROBU-AMASAMAN"," 33,422 "," 258 "," 37,626 ",171,57," 814 ",8," 36 "," 72,392 ",1499," 73,891 ",109530,"67.46%","2.03%","trobu amasaman",33422,37626,72392,109530,73891,71048,0.529585632248621,0.519753563929716,"GREATER ACCRA",109,"GA",515,"TROBU-AMASAMAN","ga west","trobu amasaman","ga west","ga west",37626,71048,0.529585632248621,72392,1499,73891,109530,0.67461882589245,0.519753563929716,0,"ga west"
